"","concentration","activity"
"1",30,-62.56129456
"2",10,-62.57460785
"3",3.125,-60.07062912
"4",1.25,-60.66501617
"5",0.300000012,-71.59080505
"6",0.100000001,-77.89026642
"7",0.031239999,-62.21963501
"8",0.0125,-37.74427795
"9",0.003,-0.720947146
"10",0.001,-0.608812869
"11",0.000313,-9.451533318
"12",3e-05,-1.242257476
"13",30,-64.2620697
"14",10,-61.69702148
"15",3.125,-60.7428093
"16",1.25,-63.24576569
"17",0.300000012,-76.5320282
"18",0.100000001,-81.11505127
"19",0.031239999,-68.45616913
"20",0.0125,-42.57645798
"21",0.003,-8.529445648
"22",0.001,7.022292614
"23",0.000313,-3.222748995
"24",3e-05,-2.531747103
